ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Animal
2013-01-10,261.40713800000003,46.76988771299736,419.8716575111865,261.40713800000003,261.40713800000003,-27.27807863760732,-27.27807863760732,-27.27807863760732,6.457304509996872,6.457304509996872,6.457304509996872,-33.7353831476042,-33.7353831476042,-33.7353831476042,0.0,0.0,0.0,234.1290593623927,Cow
2013-01-14,261.38576161248443,47.48162264256711,431.5640041479001,261.38576161248443,261.38576161248443,-16.74954326183381,-16.74954326183381,-16.74954326183381,-0.3402958778629295,-0.3402958778629295,-0.3402958778629295,-16.409247383970882,-16.409247383970882,-16.409247383970882,0.0,0.0,0.0,244.6362183506506,Cow
2013-01-16,261.37507341872663,79.35394216982358,453.54330180951325,261.37507341872663,261.37507341872663,5.16350932839042,5.16350932839042,5.16350932839042,10.452609234492453,10.452609234492453,10.452609234492453,-5.289099906102033,-5.289099906102033,-5.289099906102033,0.0,0.0,0.0,266.53858274711706,Cow
2013-01-19,261.3590411280899,76.25747386493592,441.25436191423495,261.3590411280899,261.3590411280899,3.450755554225544,3.450755554225544,3.450755554225544,-8.48088862481945,-8.48088862481945,-8.48088862481945,11.931644179044994,11.931644179044994,11.931644179044994,0.0,0.0,0.0,264.8097966823155,Cow
2013-01-24,261.33232064369537,119.42624785899972,491.2878651243844,261.33232064369537,261.33232064369537,40.826302110295394,40.826302110295394,40.826302110295394,6.457304510019011,6.457304510019011,6.457304510019011,34.36899760027638,34.36899760027638,34.36899760027638,0.0,0.0,0.0,302.1586227539908,Cow
2013-02-05,261.2681914811486,95.42590139639714,475.3725347418211,261.2681914811486,261.2681914811486,18.873768403249585,18.873768403249585,18.873768403249585,3.454044979821138,3.454044979821138,3.454044979821138,15.419723423428447,15.419723423428447,15.419723423428447,0.0,0.0,0.0,280.1419598843982,Cow
2013-02-09,261.246815093633,59.10741125263345,434.3900581142897,261.246815093633,261.246815093633,-15.929028335520073,-15.929028335520073,-15.929028335520073,-8.480888624813709,-8.480888624813709,-8.480888624813709,-7.448139710706362,-7.448139710706362,-7.448139710706362,0.0,0.0,0.0,245.31778675811296,Cow
2013-02-22,261.17734183420725,22.664533140206995,405.5214465775656,261.17734183420725,261.17734183420725,-43.112175691607455,-43.112175691607455,-43.112175691607455,-2.4318779193795144,-2.4318779193795144,-2.4318779193795144,-40.68029777222794,-40.68029777222794,-40.68029777222794,0.0,0.0,0.0,218.0651661425998,Cow
2013-02-24,261.16665364044945,32.62535744376329,388.84636122085226,261.16665364044945,261.16665364044945,-44.72013167291163,-44.72013167291163,-44.72013167291163,-9.110896302269351,-9.110896302269351,-9.110896302269351,-35.60923537064228,-35.60923537064228,-35.60923537064228,0.0,0.0,0.0,216.44652196753785,Cow
2013-03-03,261.12924496229715,59.29325001278557,419.0182844620447,261.12924496229715,261.12924496229715,-14.047680757744866,-14.047680757744866,-14.047680757744866,-9.110896302267223,-9.110896302267223,-9.110896302267223,-4.936784455477641,-4.936784455477641,-4.936784455477641,0.0,0.0,0.0,247.08156420455228,Cow
2013-03-06,261.11321267166045,102.1723831906408,471.3613061279512,261.11321267166045,261.11321267166045,19.351927865212424,19.351927865212424,19.351927865212424,10.452609234478956,10.452609234478956,10.452609234478956,8.899318630733472,8.899318630733472,8.899318630733472,0.0,0.0,0.0,280.46514053687287,Cow
2013-03-18,261.0490835091136,102.97118838614072,474.885397146234,261.0490835091136,261.0490835091136,22.78698068162097,22.78698068162097,22.78698068162097,-0.3402958778606146,-0.3402958778606146,-0.3402958778606146,23.127276559481587,23.127276559481587,23.127276559481587,0.0,0.0,0.0,283.83606419073453,Cow
2013-03-20,261.0383953153558,100.69559871465955,475.7346530913495,261.0383953153558,261.0383953153558,28.82526039132039,28.82526039132039,28.82526039132039,10.452609234481944,10.452609234481944,10.452609234481944,18.372651156838447,18.372651156838447,18.372651156838447,0.0,0.0,0.0,289.8636557066762,Cow
2013-03-22,261.027707121598,86.61512967056164,465.6982508104312,261.027707121598,261.027707121598,10.03747863889826,10.03747863889826,10.03747863889826,-2.4318779193876474,-2.4318779193876474,-2.4318779193876474,12.469356558285906,12.469356558285906,12.469356558285906,0.0,0.0,0.0,271.06518576049626,Cow
2013-03-31,260.97961024968794,61.07017432238103,428.1090780828948,260.97961024968794,260.97961024968794,-21.799407285820905,-21.799407285820905,-21.799407285820905,-9.110896302262384,-9.110896302262384,-9.110896302262384,-12.688510983558524,-12.688510983558524,-12.688510983558524,0.0,0.0,0.0,239.18020296386703,Cow
2013-04-06,260.94754566841453,65.89136256405529,417.0721885216431,260.94754566841453,260.94754566841453,-22.369643890121672,-22.369643890121672,-22.369643890121672,-8.480888624814803,-8.480888624814803,-8.480888624814803,-13.888755265306868,-13.888755265306868,-13.888755265306868,0.0,0.0,0.0,238.57790177829287,Cow
2013-04-11,260.92082518402003,82.00310944856405,446.29414112935376,260.92082518402003,260.92082518402003,3.682317163972287,3.682317163972287,3.682317163972287,6.457304510000319,6.457304510000319,6.457304510000319,-2.7749873460280323,-2.7749873460280323,-2.7749873460280323,0.0,0.0,0.0,264.60314234799233,Cow
2013-04-21,260.86738421523097,104.60814888499092,483.12213724434383,260.86738421523097,260.86738421523097,22.77664745968421,22.77664745968421,22.77664745968421,-9.110896302259668,-9.110896302259668,-9.110896302259668,31.88754376194388,31.88754376194388,31.88754376194388,0.0,0.0,0.0,283.6440316749152,Cow
2013-04-26,260.84066373083647,108.0337796410642,485.1715471487613,260.84066373083647,260.84066373083647,40.432263759705336,40.432263759705336,40.432263759705336,-2.431877919365349,-2.431877919365349,-2.431877919365349,42.86414167907069,42.86414167907069,42.86414167907069,0.0,0.0,0.0,301.2729274905418,Cow
2013-05-01,260.813943246442,136.75554252758272,509.4473346688037,260.813943246442,260.813943246442,55.197315142313705,55.197315142313705,55.197315142313705,10.45260923447992,10.45260923447992,10.45260923447992,44.74470590783379,44.74470590783379,44.74470590783379,0.0,0.0,0.0,316.01125838875566,Cow
2013-05-02,260.80859914956307,124.6117300302857,494.0734877706166,260.80859914956307,260.80859914956307,50.474953759965175,50.474953759965175,50.474953759965175,6.457304509995913,6.457304509995913,6.457304509995913,44.01764924996926,44.01764924996926,44.01764924996926,0.0,0.0,0.0,311.2835529095282,Cow
2013-05-08,260.77653456828966,111.3204113549836,485.64945516262816,260.77653456828966,260.77653456828966,43.88455919212885,43.88455919212885,43.88455919212885,10.452609234486996,10.452609234486996,10.452609234486996,33.43194995764185,33.43194995764185,33.43194995764185,0.0,0.0,0.0,304.6610937604185,Cow
2013-05-15,260.7391258901373,106.88252746183686,475.3307455740972,260.7391258901373,260.7391258901373,23.862552610496184,23.862552610496184,23.862552610496184,10.452609234494068,10.452609234494068,10.452609234494068,13.409943376002117,13.409943376002117,13.409943376002117,0.0,0.0,0.0,284.6016785006335,Cow
2013-05-18,260.72309359950066,71.84510743235981,433.50541232183,260.72309359950066,260.72309359950066,-4.0514712631546175,-4.0514712631546175,-4.0514712631546175,-8.48088862482164,-8.48088862482164,-8.48088862482164,4.429417361667023,4.429417361667023,4.429417361667023,0.0,0.0,0.0,256.67162233634605,Cow
2013-05-22,260.70171721198506,75.85574827060576,450.66030359492623,260.70171721198506,260.70171721198506,3.792296385339602,3.792296385339602,3.792296385339602,10.452609234482598,10.452609234482598,10.452609234482598,-6.660312849142995,-6.660312849142995,-6.660312849142995,0.0,0.0,0.0,264.4940135973247,Cow
2013-05-25,260.68568492134835,47.72969407945674,425.1791018427098,260.68568492134835,260.68568492134835,-22.39770201252849,-22.39770201252849,-22.39770201252849,-8.480888624821645,-8.480888624821645,-8.480888624821645,-13.916813387706847,-13.916813387706847,-13.916813387706847,0.0,0.0,0.0,238.28798290881983,Cow
2013-05-31,260.6536203388599,46.20294590851442,422.82755464417465,260.6536203388599,260.6536203388599,-27.39169004577129,-27.39169004577129,-27.39169004577129,-2.431877919383192,-2.431877919383192,-2.431877919383192,-24.959812126388098,-24.959812126388098,-24.959812126388098,0.0,0.0,0.0,233.26193029308865,Cow
2013-06-01,260.6482762417785,30.10091357455929,406.3898272223908,260.6482762417785,260.6482762417785,-34.781313583317655,-34.781313583317655,-34.781313583317655,-8.48088862483081,-8.48088862483081,-8.48088862483081,-26.300424958486843,-26.300424958486843,-26.300424958486843,0.0,0.0,0.0,225.86696265846084,Cow
2013-06-07,260.61621165929006,46.31783749702823,405.7151398734673,260.61621165929006,260.61621165929006,-33.395467086088026,-33.395467086088026,-33.395467086088026,-2.431877919362197,-2.431877919362197,-2.431877919362197,-30.963589166725825,-30.963589166725825,-30.963589166725825,0.0,0.0,0.0,227.22074457320204,Cow
2013-06-19,260.5520824943132,62.00412209202665,437.34095296157295,260.5520824943132,260.5520824943132,-10.476316068835535,-10.476316068835535,-10.476316068835535,10.45260923448119,10.45260923448119,10.45260923448119,-20.928925303316728,-20.928925303316728,-20.928925303316728,0.0,0.0,0.0,250.07576642547767,Cow
2013-06-20,260.5467383972318,42.45545969269924,425.03243996927125,260.5467383972318,260.5467383972318,-12.567014837456844,-12.567014837456844,-12.567014837456844,6.457304509998171,6.457304509998171,6.457304509998171,-19.024319347455016,-19.024319347455016,-19.024319347455016,0.0,0.0,0.0,247.97972355977495,Cow
2013-06-22,260.536050203069,43.82150041153534,422.7574636033519,260.536050203069,260.536050203069,-23.38306825549026,-23.38306825549026,-23.38306825549026,-8.480888624810156,-8.480888624810156,-8.480888624810156,-14.902179630680108,-14.902179630680108,-14.902179630680108,0.0,0.0,0.0,237.15298194757875,Cow
2013-06-28,260.5039856205806,74.63974880652906,447.5917114290685,260.5039856205806,260.5039856205806,-4.124463509918248,-4.124463509918248,-4.124463509918248,-2.4318779193913227,-2.4318779193913227,-2.4318779193913227,-1.6925855905269254,-1.6925855905269254,-1.6925855905269254,0.0,0.0,0.0,256.3795221106623,Cow
2013-07-02,260.48260923225496,77.31671544364377,452.6175022193261,260.48260923225496,260.48260923225496,9.138807289269783,9.138807289269783,9.138807289269783,3.454044979828323,3.454044979828323,3.454044979828323,5.684762309441459,5.684762309441459,5.684762309441459,0.0,0.0,0.0,269.62141652152474,Cow
2013-07-05,260.4665769410108,76.43496314984878,459.7661363275831,260.4665769410108,260.4665769410108,6.862548335198172,6.862548335198172,6.862548335198172,-2.4318779193703284,-2.4318779193703284,-2.4318779193703284,9.2944262545685,9.2944262545685,9.2944262545685,0.0,0.0,0.0,267.32912527620897,Cow
2013-07-12,260.4291682614409,81.17788039070949,448.64982041769264,260.4291682614409,260.4291682614409,6.525309474536936,6.525309474536936,6.525309474536936,-2.4318779193694047,-2.4318779193694047,-2.4318779193694047,8.957187393906342,8.957187393906342,8.957187393906342,0.0,0.0,0.0,266.95447773597783,Cow
2013-07-13,260.4238241643596,66.20254693184627,442.2540030409096,260.4238241643596,260.4238241643596,-0.5708795533958652,-0.5708795533958652,-0.5708795533958652,-8.480888624822734,-8.480888624822734,-8.480888624822734,7.910009071426869,7.910009071426869,7.910009071426869,0.0,0.0,0.0,259.8529446109637,Cow
